ts_code,period,dcf_equity_value_ttm,dcf_equity_value_ttm_growth_r,total_mv,symbol,name,area,industry,market,list_date,list_status
000006.SZ,2024Q4,28123595906.109737,28123595906.109737,988196.3737,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2025Q1,36571616273.80697,36571616273.80697,984146.3885,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2025Q2,49146385776.85655,49146385776.85655,870746.8047,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2025Q3,39937150879.60914,39937150879.60914,1389144.9023,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2025Q4,5035972694.604216,5035972694.604216,1343245.0708,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2026Q1,10364445312.462923,10364445312.462923,1160995.7396,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2026Q2,,,1309495.1946,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000007.SZ,1993Q4,,,,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,1994Q4,,,,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,1995Q4,,,,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,1996Q4,,,,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2014Q1,,,280622.916,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2014Q2,,,265841.1328,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2014Q3,,,384326.364,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2014Q4,346974547.10745955,346974547.10745955,337209.43,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2015Q1,2068258345.8510711,2068258345.8510711,442298.6701,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2015Q2,1417384496.9326177,1417384496.9326177,673725.9639,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2015Q3,2660965303.2753253,2660965303.2753253,673725.9639,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2015Q4,6618026227.695659,6618026227.695659,549466.5986,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2016Q1,6860894732.0529375,6860894732.0529375,549466.5986,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2016Q2,4692947862.169988,4692947862.169988,549466.5986,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2016Q3,4430506820.887259,4430506820.887259,561707.7628,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2016Q4,,,591964.2254,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2017Q1,,,549928.5293,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2017Q2,,,549928.5293,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2017Q3,133050236.5177763,133050236.5177763,577182.4413,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2017Q4,80736499.19100416,80736499.19100416,577182.4413,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2018Q1,,,496460.0471,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2018Q2,,,463893.9309,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2018Q3,,,271268.8185,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2018Q4,,,279237.1235,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2019Q1,,,251174.8319,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2019Q2,,,236624.0141,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2019Q3,,,290323.4609,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2019Q4,,,329125.6418,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2020Q1,,,280276.4676,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2020Q2,,,302449.1424,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2020Q3,,,325661.1614,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2020Q4,,,241474.2867,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2021Q1,,,134075.393,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2021Q2,,,142390.1461,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2021Q3,,,146547.5226,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2021Q4,,,210986.8588,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2022Q1,,,219301.6119,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2022Q2,870588496.2926519,288058566.31866443,250481.9358,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2022Q3,1300720267.5891976,449857644.02533203,279237.1235,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2022Q4,4195049203.974115,4195049203.974115,269536.5782,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2023Q1,,,265725.6497,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2023Q2,,,154862.2757,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2023Q3,,,155901.6198,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2023Q4,,,168720.1974,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2024Q1,,,154862.2757,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2024Q2,4115998061.975853,4115998061.975853,164216.3729,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2024Q3,2460885250.808431,2460885250.808431,234545.3258,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2024Q4,5443888753.169072,6707506518.9313755,243552.9749,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2025Q1,7218753332.626024,7218753332.626024,210986.8588,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2025Q2,8896433599.876131,8896433599.876131,263646.9615,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2025Q3,12456941252.017967,12456941252.017967,252560.6241,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2025Q4,9724195813.922503,9724195813.922503,396336.5623,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2026Q1,9467352308.461868,367219532.8152532,448650.217,000007,全新好,深圳,其他商业,主板,19920413,L
000007.SZ,2026Q2,,,537340.9162,000007,全新好,深圳,其他商业,主板,19920413,L
000008.SZ,1992Q4,,,,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,1993Q4,,,,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2012Q4,,,,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2014Q1,,,288421.558,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2014Q2,,,255025.3776,000008,神州高铁,北京,运输设备,主板,19920507,L
